Feature question in English	Value set	Clarifying comments to outsiders (from the proposal by Jeremy, Hannah and Hedvig)	Value	Suggested standardised comments in dropdown menu form	Source	Comment	Relevant unit(s)	Function	Formal means	Standardised comments list	Feature_ID	Feature Domain	Contributed_Datapoints
													
Are there definite or specific articles?	1: present, 0: absent	"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.
 Formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone.
 Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives. See discussions on multifunctionality and take an informed stance in the language-specific case whether these markers are homophonous or polysemic."	1		Vycichl (2005:178, 196); Souag (2013:80-82)	Indefiniteness and definiteness are marked on the noun via stress: ultimate stress marks the indefinite, penultimate stress marks the definite.	article	definiteness	phonologically independent item, affixation and cliticization, declension	5	GB020		JR
Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	1: present, 0: absent	In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1).	1		Vycichl (2005:178, 196); Souag (2013:80-82); Lameen Souag (p.c. 2023)	Indefiniteness and definiteness are marked on the noun via stress: ultimate stress marks the indefinite, penultimate stress marks the definite.	article, NP	definiteness	phonologically independent item, affixation and cliticization, declension	3	GB021		JR
Are there prenominal articles?	1: present, 0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	0		Vycichl (2005:196)		article, NP	definiteness	phonologically independent item, affixation and cliticization, word order, declension	5	GB022		
Are there postnominal articles?	1: present, 0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	0		Vycichl (2005:196)		article, NP	definiteness	phonologically independent item, affixation and cliticization, word order, declension	5	GB023		
What is the order of numeral and noun in the NP?	multistate 1; Num-N; 2: N-Num; 3: both.	What is the pragmatically unmarked order of the cardinal numeral and the noun?	1		Vycichl (2005:207)		numeral, NP	quantification	word order	4	GB024		
What is the order of demonstrative and noun in the NP?	multistate 1: Dem-N; 2: N-Dem; 3: both.	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider pragmatically marked constructions such as focus.	2		Vycichl (2005:223); Souag (2013:146); Lameen Souag (p.c. 2023)	The demonstrative pronoun follows the noun.	demonstrative, NP	deixis	word order	6	GB025		JR
Are there 'discontinuous noun phrases'?	1: present, 0: absent	"This is a question concerns the structure of the NP. Can you, for example, say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent. > i.e. the ""Australian type"". NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here, this features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"")."	?		Souag (2010:1-519)		adjective, NP	attribution	word order	1	GB026		
Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	1: present, 0: absent	This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent).	0		Souag (2010:468)		noun, NP, case marker	coordination, argument marking - oblique	affixation and cliticization, phonologically independent item, declension	1	GB027		
Is there an inclusive/exclusive distinction?	1: present, 0: absent	Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? It could be that only inclusion is differentiated and not exclusion, exclusion does not have to be overtly marked for (1) here. This feature is not restricted to the pronominal system but includes verbal marking as well. This means that if is not in a direct dependency relation to F29.	0		Vycichl (2005:216)		pronoun, bound person form	number	paradigm, declension, bound person marking	1	GB028		
